guideline,qualityProfileComplianceThresholds,qualityProfileVolume,isCompliant,hasComplianceChanged,isGuidelineScoreWorse,refactoringCandidates,guidelineMetrics
WRITE_SHORT_UNITS,"[0.5630000000000001, 0.437, 0.223, 0.069]","[1, 0, 0, 0]",True,False,False,,
WRITE_SIMPLE_UNITS,"[0.748, 0.252, 0.1, 0.015]","[1, 0, 0, 0]",True,False,False,,
WRITE_CODE_ONCE,"[0.9540000000000001, 0.046]","[1, 0]",True,False,False,,
SMALL_UNIT_INTERFACES,"[0.862, 0.138, 0.027, 0.007]","[0, 0, 0, 0]",True,False,False,,
SEPARATE_CONCERNS_IN_MODULES,"[0.784, 0.216, 0.138, 0.066]","[0, 0, 0, 0]",True,False,False,,
COUPLE_ARCHITECTURE_COMPONENTS_LOOSELY,"[0.858, 0.14200000000000002]","[1, 0]",True,False,False,,
KEEP_COMPONENTS_BALANCED,"[71.0, 2.0, 12.0]","[0, 1, 1]",False,False,False,"[{'className': 'nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate', 'weight': 1.0, 'name': 'templates', 'isSnoozed': False}]",
KEEP_YOUR_CODEBASE_SMALL,"[1.0, 0.0]","[1, 0]",True,False,False,"[{'className': 'nl.sig.bettercodehub.dataaccess.datamodel.RefactoringSystemCandidate', 'volumeInManMonths': 0.0010415581710230002, 'isSnoozed': False}]",
AUTOMATE_TESTS,"[0.8, 0.2]",,False,False,False,"[{'className': 'nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate', 'severity': 'VERY_HIGH', 'filename': 'templates/java5_2_tier/src/web-tapestry4/js/dojo/src/storage/storage.sh', 'startLine': 1, 'endLine': 3, 'weight': 1, 'guidelineWeight': 1, 'name': 'storage.sh', 'isSnoozed': False}]","{'className': 'nl.sig.bettercodehub.dataaccess.datamodel.AutomateTestsGuidelineMetrics', 'linesOfProductionCodeTotal': 1.0, 'linesOfTestCodeTotal': 0.0, 'linesOfTestCodeForAssertDensity': 0.0, 'numberOfAsserts': 0.0, 'linesOfTestCodeZeroAsserts': 0.0, 'linesOfTestCodeOneAssert': 0.0, 'linesOfTestCodeMultipleAsserts': 0.0}"
WRITE_CLEAN_CODE,"[0.99, 0.01]","[1, 0]",True,False,False,,
